description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Création d'une application de géolocalisation avec cartes interactives google maps,Technology,simple,44,french,Application Web,LOW,0.0,0.0
Développement d'un saas project management platform development with rest api integration,Technology,simple,36,english,API REST,MEDIUM,0.09090909090909091,0.09090909090909091
Solution de cybersécurité avec détection d'intrusion en temps réel avec kubernetes avec haute performance,Technology,simple,38,french,Application Web,HIGH,0.07142857142857142,0.0
Création d'une real-time chat application with websocket and push notifications,Technology,moyen,78,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de développement low-code pour applications métier avec microservices avec analytics avancés,Technology,moyen,67,french,SaaS,LOW,0.07142857142857142,0.0
Virtualization solution using Docker containers and Kubernetes avec blockchain,Technology,complexe,108,english,Application Web,MEDIUM,0.2222222222222222,0.0
Développement d'un développement d'une plateforme saas de gestion de projets avec api rest,Technology,simple,34,french,API REST,HIGH,0.07692307692307693,0.07692307692307693
Mise en place d'un native ios/android mobile application for team collaboration avec authentification SSO,Technology,simple,50,english,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un application de machine learning pour la prédiction de ventes avec enterprise,Technology,complexe,88,french,Application Web,MEDIUM,0.0,0.0
Augmented reality application for industrial training programs avec authentification SSO,Technology,simple,44,english,Application Web,LOW,0.0,0.0
Développement d'un application de réalité augmentée pour la formation industrielle,Technology,simple,29,french,Application Web,MEDIUM,0.0,0.0
Création d'une saas project management platform development with rest api integration,Technology,simple,52,english,API REST,MEDIUM,0.09090909090909091,0.09090909090909091
Développement d'un système de gestion de contenu avec interface react et backend node.js,Technology,simple,35,french,Système,LOW,0.15384615384615385,0.07692307692307693
Mise en place d'un blockchain platform for product traceability and verification,Technology,moyen,69,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une plateforme blockchain pour la traçabilité des produits,Technology,moyen,76,french,SaaS,MEDIUM,0.0,0.0
Développement d'un saas project management platform development with rest api integration,Technology,simple,25,english,API REST,MEDIUM,0.09090909090909091,0.09090909090909091
Application de géolocalisation avec cartes interactives Google Maps,Technology,simple,41,french,Application Web,HIGH,0.0,0.0
Création d'une devops solution with continuous integration and automated deployment avec security,Technology,simple,24,english,Application Web,HIGH,0.0,0.0
Création d'une système de gestion de contenu avec interface react et backend node.js,Technology,simple,32,french,Système,LOW,0.15384615384615385,0.07692307692307693
Implémentation d'une low-code development platform for enterprise applications,Technology,moyen,50,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme de développement low-code pour applications métier,Technology,simple,44,french,SaaS,HIGH,0.0,0.0
Implémentation d'une devops solution with continuous integration and automated deployment,Technology,simple,41,english,Application Web,HIGH,0.0,0.0
Mise en place d'un plateforme d'intelligence artificielle pour l'analyse de données,Technology,simple,29,french,SaaS,LOW,0.0,0.0
Implémentation d'une distributed database management system using mongodb,Technology,moyen,66,english,Système,MEDIUM,0.25,0.125
Création d'une application de chat en temps réel avec websocket et notifications push multi-plateforme,Technology,simple,50,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une version control system with git and web-based interface,Technology,simple,56,english,Application Web,LOW,0.0,0.0
Développement d'un solution de virtualisation avec docker et kubernetes,Technology,simple,22,french,Application Web,LOW,0.2222222222222222,0.0
Real-time chat application with WebSocket and push notifications,Technology,moyen,78,english,Application Web,HIGH,0.0,0.0
Mise en place d'un solution de virtualisation avec docker et kubernetes,Technology,simple,24,french,Application Web,HIGH,0.18181818181818182,0.0
Développement d'un cybersecurity solution with real-time intrusion detection system avec distributed,Technology,complexe,88,english,Système,HIGH,0.0,0.0
Développement d'un plateforme d'analyse de données avec dashboards interactifs avec real-time,Technology,moyen,67,french,SaaS,HIGH,0.0,0.0
Création d'une performance monitoring system with real-time alerts,Technology,moyen,66,english,Système,HIGH,0.0,0.0
Développement d'un plateforme blockchain pour la traçabilité des produits avec interface utilisateur moderne,Technology,moyen,67,french,SaaS,HIGH,0.0,0.07692307692307693
Création d'une devops solution with continuous integration and automated deployment avec kubernetes multi-plateforme,Technology,simple,44,english,SaaS,LOW,0.07692307692307693,0.0
Mise en place d'un plateforme blockchain pour la traçabilité des produits avec scalable avec haute performance,Technology,expert,139,french,SaaS,LOW,0.0,0.0
Développement d'un native ios/android mobile application for team collaboration intégrant des APIs externes,Technology,simple,59,english,Application Mobile,MEDIUM,0.0,0.0
Création d'une application de géolocalisation avec cartes interactives google maps sécurisé et scalable,Technology,moyen,70,french,Application Web,MEDIUM,0.0,0.0
Low-code development platform for enterprise applications,Technology,moyen,80,english,Application Web,HIGH,0.0,0.0
Développement d'un plateforme blockchain pour la traçabilité des produits multi-plateforme,Technology,moyen,56,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un native ios/android mobile application for team collaboration avec blockchain,Technology,moyen,77,english,Application Mobile,MEDIUM,0.0,0.0
Système de surveillance des performances avec monitoring temps réel,Technology,simple,32,french,Système,MEDIUM,0.0,0.0
Mise en place d'un devops solution with continuous integration and automated deployment,Technology,simple,24,english,Application Web,LOW,0.0,0.0
Développement d'un plateforme de développement d'api avec documentation automatique avec blockchain,Technology,moyen,70,french,API REST,LOW,0.0,0.0
Implémentation d'une cybersecurity solution with real-time intrusion detection system,Technology,moyen,52,english,Système,HIGH,0.0,0.0
